COD_MUNICIPIO_A,COD_MUNICIPIO_IBGE,MUNICIPIO_A,MUNICIPIO_IBGE,UF,CODE
105,1200104,BRASILÉIA,Brasiléia,AC,12
107,1200203,CRUZEIRO DO SUL,Cruzeiro do Sul,AC,12
109,1200336,MÂNCIO LIMA,Mâncio Lima,AC,12
113,1200302,FEIJÓ,Feijó,AC,12
139,1200401,RIO BRANCO,Rio Branco,AC,12
145,1200500,SENA MADUREIRA,Sena Madureira,AC,12
147,1200609,TARAUACÁ,Tarauacá,AC,12
149,1200708,XAPURI,Xapuri,AC,12
151,1200385,PLÁCIDO DE CASTRO,Plácido de Castro,AC,12
153,1200450,SENADOR GUIOMARD,Senador Guiomard,AC,12
155,1200344,MANOEL URBANO,Manoel Urbano,AC,12
157,1200054,ASSIS BRASIL,Assis Brasil,AC,12
643,1200013,ACRELÂNDIA,Acrelândia,AC,12
645,1200138,BUJARI,Bujari,AC,12
647,1200179,CAPIXABA,Capixaba,AC,12
649,1200807,PORTO ACRE,Porto Acre,AC,12
651,1200252,EPITACIOLÂNDIA,Epitaciolândia,AC,12
653,1200328,JORDÃO,Jordão,AC,12
655,1200351,MARECHAL THAUMATURGO,Marechal Thaumaturgo,AC,12
657,1200393,PORTO WALTER,Porto Walter,AC,12
659,1200427,RODRIGUES ALVES,Rodrigues Alves,AC,12
661,1200435,SANTA ROSA DO PURUS,Santa Rosa do Purus,AC,12
560,2701357,CAMPESTRE,Campestre,AL,27
562,2703759,JEQUIÁ DA PRAIA,Jequiá da Praia,AL,27
971,2709152,TEOTÔNIO VILELA,Teotônio Vilela,AL,27
2641,2706448,PARIPUEIRA,Paripueira,AL,27
2643,2702553,ESTRELA DE ALAGOAS,Estrela de Alagoas,AL,27
2645,2706422,PARICONHA,Pariconha,AL,27
2701,2700102,ÁGUA BRANCA,Água Branca,AL,27
2703,2700201,ANADIA,Anadia,AL,27
2705,2700300,ARAPIRACA,Arapiraca,AL,27
2707,2700409,ATALAIA,Atalaia,AL,27
2709,2700508,BARRA DE SANTO ANTÔNIO,Barra de Santo Antônio,AL,27
2711,2700607,BARRA DE SÃO MIGUEL,Barra de São Miguel,AL,27
2713,2700706,BATALHA,Batalha,AL,27
2715,2700805,BELÉM,Belém,AL,27
2717,2700904,BELO MONTE,Belo Monte,AL,27
2719,2701001,BOCA DA MATA,Boca da Mata,AL,27
2721,2701100,BRANQUINHA,Branquinha,AL,27
2723,2701209,CACIMBINHAS,Cacimbinhas,AL,27
2725,2701308,CAJUEIRO,Cajueiro,AL,27
2727,2701407,CAMPO ALEGRE,Campo Alegre,AL,27
2729,2701506,CAMPO GRANDE,Campo Grande,AL,27
2731,2701605,CANAPI,Canapi,AL,27
2733,2701704,CAPELA,Capela,AL,27
2735,2701803,CARNEIROS,Carneiros,AL,27
2737,2701902,CHÃ PRETA,Chã Preta,AL,27
2739,2702009,COITÉ DO NÓIA,Coité do Nóia,AL,27
2741,2702108,COLÔNIA LEOPOLDINA,Colônia Leopoldina,AL,27
2743,2702207,COQUEIRO SECO,Coqueiro Seco,AL,27
2745,2702306,CORURIPE,Coruripe,AL,27
2747,2702405,DELMIRO GOUVEIA,Delmiro Gouveia,AL,27
2749,2702504,DOIS RIACHOS,Dois Riachos,AL,27
2751,2702603,FEIRA GRANDE,Feira Grande,AL,27
2753,2702702,FELIZ DESERTO,Feliz Deserto,AL,27
2755,2702801,FLEXEIRAS,Flexeiras,AL,27
2757,2702900,GIRAU DO PONCIANO,Girau do Ponciano,AL,27
2759,2703007,IBATEGUARA,Ibateguara,AL,27
2761,2703106,IGACI,Igaci,AL,27
2763,2703205,IGREJA NOVA,Igreja Nova,AL,27
2765,2703304,INHAPI,Inhapi,AL,27
2767,2703403,JACARÉ DOS HOMENS,Jacaré dos Homens,AL,27
2769,2703502,JACUÍPE,Jacuípe,AL,27
2771,2703601,JAPARATINGA,Japaratinga,AL,27
2773,2703700,JARAMATAIA,Jaramataia,AL,27
2775,2703809,JOAQUIM GOMES,Joaquim Gomes,AL,27
2777,2703908,JUNDIÁ,Jundiá,AL,27
2779,2704005,JUNQUEIRO,Junqueiro,AL,27
2781,2704104,LAGOA DA CANOA,Lagoa da Canoa,AL,27
2783,2704203,LIMOEIRO DE ANADIA,Limoeiro de Anadia,AL,27
2785,2704302,MACEIÓ,Maceió,AL,27
2787,2704401,MAJOR ISIDORO,Major Isidoro,AL,27
2789,2704500,MARAGOGI,Maragogi,AL,27
2791,2704609,MARAVILHA,Maravilha,AL,27
2793,2704708,MARECHAL DEODORO,Marechal Deodoro,AL,27
2795,2704807,MARIBONDO,Maribondo,AL,27
2797,2704906,MAR VERMELHO,Mar Vermelho,AL,27
2799,2705002,MATA GRANDE,Mata Grande,AL,27
2801,2705101,MATRIZ DE CAMARAGIBE,Matriz de Camaragibe,AL,27
2803,2705200,MESSIAS,Messias,AL,27
2805,2705309,MINADOR DO NEGRÃO,Minador do Negrão,AL,27
2807,2705408,MONTEIRÓPOLIS,Monteirópolis,AL,27
2809,2705507,MURICI,Murici,AL,27
2811,2705606,NOVO LINO,Novo Lino,AL,27
2813,2705705,OLHO D'ÁGUA DAS FLORES,Olho d'Água das Flores,AL,27
2815,2705804,OLHO D'ÁGUA DO CASADO,Olho d'Água do Casado,AL,27
2817,2705903,OLHO D'ÁGUA GRANDE,Olho d'Água Grande,AL,27
2819,2706000,OLIVENÇA,Olivença,AL,27
2821,2706109,OURO BRANCO,Ouro Branco,AL,27
2823,2706208,PALESTINA,Palestina,AL,27
2825,2706307,PALMEIRA DOS ÍNDIOS,Palmeira dos Índios,AL,27
2827,2706406,PÃO DE AÇÚCAR,Pão de Açúcar,AL,27
2829,2706505,PASSO DE CAMARAGIBE,Passo de Camaragibe,AL,27
2831,2706604,PAULO JACINTO,Paulo Jacinto,AL,27
2833,2706703,PENEDO,Penedo,AL,27
2835,2706802,PIAÇABUÇU,Piaçabuçu,AL,27
2837,2706901,PILAR,Pilar,AL,27
2839,2707008,PINDOBA,Pindoba,AL,27
2841,2707107,PIRANHAS,Piranhas,AL,27
2843,2707206,POÇO DAS TRINCHEIRAS,Poço das Trincheiras,AL,27
2845,2707305,PORTO CALVO,Porto Calvo,AL,27
2847,2707404,PORTO DE PEDRAS,Porto de Pedras,AL,27
2849,2707503,PORTO REAL DO COLÉGIO,Porto Real do Colégio,AL,27
2851,2707602,QUEBRANGULO,Quebrangulo,AL,27
2853,2707701,RIO LARGO,Rio Largo,AL,27
2855,2707800,ROTEIRO,Roteiro,AL,27
2857,2707909,SANTA LUZIA DO NORTE,Santa Luzia do Norte,AL,27
2859,2708006,SANTANA DO IPANEMA,Santana do Ipanema,AL,27
2861,2708105,SANTANA DO MUNDAÚ,Santana do Mundaú,AL,27
2863,2708204,SÃO BRÁS,São Brás,AL,27
2865,2708303,SÃO JOSÉ DA LAJE,São José da Laje,AL,27
2867,2708402,SÃO JOSÉ DA TAPERA,São José da Tapera,AL,27
2869,2708501,SÃO LUÍS DO QUITUNDE,São Luís do Quitunde,AL,27
2871,2708600,SÃO MIGUEL DOS CAMPOS,São Miguel dos Campos,AL,27
2873,2708709,SÃO MIGUEL DOS MILAGRES,São Miguel dos Milagres,AL,27
2875,2708808,SÃO SEBASTIÃO,São Sebastião,AL,27
2877,2708907,SATUBA,Satuba,AL,27
2879,2709004,TANQUE D'ARCA,Tanque d'Arca,AL,27
2881,2709103,TAQUARANA,Taquarana,AL,27
2883,2709202,TRAIPU,Traipu,AL,27
2885,2709301,UNIÃO DOS PALMARES,União dos Palmares,AL,27
2887,2709400,VIÇOSA,Viçosa,AL,27
2889,2702355,CRAÍBAS,Craíbas,AL,27
2891,2708956,SENADOR RUI PALMEIRA,Senador Rui Palmeira,AL,27
201,1303205,NOVO AIRÃO,Novo Airão,AM,13
203,1300102,ANORI,Anori,AM,13
205,1300201,ATALAIA DO NORTE,Atalaia do Norte,AM,13
207,1300300,AUTAZES,Autazes,AM,13
209,1300409,BARCELOS,Barcelos,AM,13
211,1300508,BARREIRINHA,Barreirinha,AM,13
213,1300607,BENJAMIN CONSTANT,Benjamin Constant,AM,13
215,1300706,BOCA DO ACRE,Boca do Acre,AM,13
217,1300805,BORBA,Borba,AM,13
219,1300904,CANUTAMA,Canutama,AM,13
221,1301001,CARAUARI,Carauari,AM,13
223,1301100,CAREIRO,Careiro,AM,13
225,1301209,COARI,Coari,AM,13
227,1301308,CODAJÁS,Codajás,AM,13
229,1301407,EIRUNEPÉ,Eirunepé,AM,13
231,1301506,ENVIRA,Envira,AM,13
233,1301605,FONTE BOA,Fonte Boa,AM,13
235,1301704,HUMAITÁ,Humaitá,AM,13
237,1303601,SANTA ISABEL DO RIO NEGRO,Santa Isabel do Rio Negro,AM,13
239,1301803,IPIXUNA,Ipixuna,AM,13
241,1301902,ITACOATIARA,Itacoatiara,AM,13
243,1302009,ITAPIRANGA,Itapiranga,AM,13
245,1302108,JAPURÁ,Japurá,AM,13
247,1302207,JURUÁ,Juruá,AM,13
249,1302306,JUTAÍ,Jutaí,AM,13
251,1302405,LÁBREA,Lábrea,AM,13
253,1302504,MANACAPURU,Manacapuru,AM,13
255,1302603,MANAUS,Manaus,AM,13
257,1302702,MANICORÉ,Manicoré,AM,13
259,1302801,MARAÃ,Maraã,AM,13
261,1302900,MAUÉS,Maués,AM,13
263,1303007,NHAMUNDÁ,Nhamundá,AM,13
265,1303106,NOVA OLINDA DO NORTE,Nova Olinda do Norte,AM,13
267,1303304,NOVO ARIPUANÃ,Novo Aripuanã,AM,13
269,1303403,PARINTINS,Parintins,AM,13
271,1303502,PAUINI,Pauini,AM,13
273,1303700,SANTO ANTÔNIO DO IÇÁ,Santo Antônio do Içá,AM,13
275,1303908,SÃO PAULO DE OLIVENÇA,São Paulo de Olivença,AM,13
277,1304005,SILVES,Silves,AM,13
279,1304104,TAPAUÁ,Tapauá,AM,13
281,1304203,TEFÉ,Tefé,AM,13
283,1303809,SÃO GABRIEL DA CACHOEIRA,São Gabriel da Cachoeira,AM,13
285,1304302,URUCARÁ,Urucará,AM,13
287,1304401,URUCURITUBA,Urucurituba,AM,13
289,1300029,ALVARÃES,Alvarães,AM,13
291,1300060,AMATURÁ,Amaturá,AM,13
293,1300086,ANAMÃ,Anamã,AM,13
295,1300631,BERURI,Beruri,AM,13
297,1300680,BOA VISTA DO RAMOS,Boa Vista do Ramos,AM,13
299,1300839,CAAPIRANGA,Caapiranga,AM,13
965,1301159,CAREIRO DA VÁRZEA,Careiro da Várzea,AM,13
967,1301654,GUAJARÁ,Guajará,AM,13
969,1300144,APUÍ,Apuí,AM,13
9835,1301852,IRANDUBA,Iranduba,AM,13
9837,1301951,ITAMARATI,Itamarati,AM,13
9839,1302553,MANAQUIRI,Manaquiri,AM,13
9841,1303536,PRESIDENTE FIGUEIREDO,Presidente Figueiredo,AM,13
9843,1303569,RIO PRETO DA EVA,Rio Preto da Eva,AM,13
9845,1303957,SÃO SEBASTIÃO DO UATUMÃ,São Sebastião do Uatumã,AM,13
9847,1304062,TABATINGA,Tabatinga,AM,13
9849,1304260,UARINI,Uarini,AM,13
9851,1304237,TONANTINS,Tonantins,AM,13
70,1600808,VITÓRIA DO JARI,Vitória do Jari,AP,16
601,1600105,AMAPÁ,Amapá,AP,16
603,1600204,CALÇOENE,Calçoene,AP,16
605,1600303,MACAPÁ,Macapá,AP,16
607,1600402,MAZAGÃO,Mazagão,AP,16
609,1600501,OIAPOQUE,Oiapoque,AP,16
611,1600238,FERREIRA GOMES,Ferreira Gomes,AP,16
613,1600279,LARANJAL DO JARI,Laranjal do Jari,AP,16
615,1600600,SANTANA,Santana,AP,16
617,1600709,TARTARUGALZINHO,Tartarugalzinho,AP,16
663,1600154,PEDRA BRANCA DO AMAPARI,Pedra Branca do Amapari,AP,16
665,1600055,SERRA DO NAVIO,Serra do Navio,AP,16
667,1600212,CUTIAS,Cutias,AP,16
669,1600253,ITAUBAL,Itaubal,AP,16
671,1600535,PORTO GRANDE,Porto Grande,AP,16
673,1600550,PRACUÚBA,Pracuúba,AP,16
3005,2922250,Muquém de São Francisco,Muquém do São Francisco,BA,29
3007,2922730,NOVA FÁTIMA,Nova Fátima,BA,29
3009,2922755,NOVA IBIÁ,Nova Ibiá,BA,29
3011,2922854,NOVA REDENÇÃO,Nova Redenção,BA,29
3013,2923035,NOVO HORIZONTE,Novo Horizonte,BA,29
3015,2923050,NOVO TRIUNFO,Novo Triunfo,BA,29
3017,2923357,OUROLÂNDIA,Ourolândia,BA,29
3019,2924678,PIRAÍ DO NORTE,Piraí do Norte,BA,29
3021,2925253,PONTO NOVO,Ponto Novo,BA,29
3023,2925758,PRESIDENTE TANCREDO NEVES,Presidente Tancredo Neves,BA,29
3025,2925931,QUIXABEIRA,Quixabeira,BA,29
3027,2926657,RIBEIRÃO DO LARGO,Ribeirão do Largo,BA,29
3029,2928950,SÃO DOMINGOS,São Domingos,BA,29
3031,2929057,SÃO FÉLIX DO CORIBE,São Félix do Coribe,BA,29
3033,2929370,SÃO JOSÉ DO JACUÍPE,São José do Jacuípe,BA,29
3035,2929354,SÃO JOSÉ DA VITÓRIA,São José da Vitória,BA,29
3037,2929750,SAUBARA,Saubara,BA,29
3039,2930154,SERRA DO RAMALHO,Serra do Ramalho,BA,29
3041,2930758,SÍTIO DO MATO,Sítio do Mato,BA,29
3043,2930766,SÍTIO DO QUINTO,Sítio do Quinto,BA,29
3045,2930774,SOBRADINHO,Sobradinho,BA,29
3047,2932457,UMBURANAS,Umburanas,BA,29
3049,2933174,VARZEDO,Varzedo,BA,29
3051,2933257,VEREDA,Vereda,BA,29
3069,2918555,JUSSARI,Jussari,BA,29
3071,2901155,AMÉRICA DOURADA,América Dourada,BA,29
3073,2902252,ARATACA,Arataca,BA,29
3075,2903235,BARRO ALTO,Barro Alto,BA,29
3079,2904753,BURITIRAMA,Buritirama,BA,29
3081,2906857,CAPELA DO ALTO ALEGRE,Capela do Alto Alegre,BA,29
3083,2906873,CAPIM GROSSO,Capim Grosso,BA,29
3085,2906824,CANUDOS,Canudos,BA,29
3087,2910057,DIAS D'ÁVILA,Dias d'Ávila,BA,29
3089,2910750,FÁTIMA,Fátima,BA,29
3091,2910859,FILADÉLFIA,Filadélfia,BA,29
3093,2911253,GAVIÃO,Gavião,BA,29
3095,2911659,GUAJERU,Guajeru,BA,29
3097,2911857,HELIÓPOLIS,Heliópolis,BA,29
3099,2918357,JOÃO DOURADO,João Dourado,BA,29
3117,2910727,EUNÁPOLIS,Eunápolis,BA,29
3253,2900355,ADUSTINA,Adustina,BA,29
3255,2901353,ANDORINHA,Andorinha,BA,29
3257,2901957,APUAREMA,Apuarema,BA,29
3259,2902054,ARAÇAS,Araçás,BA,29
3261,2902658,BANZAÊ,Banzaê,BA,29
3263,2903953,BOM JESUS DA SERRA,Bom Jesus da Serra,BA,29
3265,2904050,BONITO,Bonito,BA,29
3267,2904852,CABACEIRAS DO PARAGUAÇU,Cabaceiras do Paraguaçu,BA,29
3269,2905156,CAETANOS,Caetanos,BA,29
3271,2906899,CARAÍBAS,Caraíbas,BA,29
3273,2907558,CATURAMA,Caturama,BA,29
3275,2910776,FEIRA DA MATA,Feira da Mata,BA,29
3277,2913457,IGRAPIÚNA,Igrapiúna,BA,29
3279,2914653,ITABELA,Itabela,BA,29
3281,2915353,ITAGUAÇU DA BAHIA,Itaguaçu da Bahia,BA,29
3283,2916856,ITATIM,Itatim,BA,29
3285,2917334,IUIÚ,Iuiu,BA,29
3287,2918456,JUCURUÇU,Jucuruçu,BA,29
3289,2918753,LAGOA REAL,Lagoa Real,BA,29
3291,2919058,Lajedo do Tabocal,Lajedo do Tabocal,BA,29
3293,2919926,MADRE DE DEUS,Madre de Deus,BA,29
3295,2921054,MATINA,Matina,BA,29
3297,2921450,MIRANTE,Mirante,BA,29
3299,2922052,MULUNGU DO MORRO,Mulungu do Morro,BA,29
3301,2900108,ABAÍRA,Abaíra,BA,29
3303,2900207,ABARÉ,Abaré,BA,29
3305,2900306,ACAJUTIBA,Acajutiba,BA,29
3307,2900405,ÁGUA FRIA,Água Fria,BA,29
3309,2900504,ÉRICO CARDOSO,Érico Cardoso,BA,29
3311,2900603,AIQUARA,Aiquara,BA,29
3313,2900702,ALAGOINHAS,Alagoinhas,BA,29
3315,2900801,ALCOBAÇA,Alcobaça,BA,29
3317,2900900,ALMADINA,Almadina,BA,29
3319,2901007,AMARGOSA,Amargosa,BA,29
3321,2901106,AMÉLIA RODRIGUES,Amélia Rodrigues,BA,29
3323,2901205,ANAGÉ,Anagé,BA,29
3325,2901304,ANDARAÍ,Andaraí,BA,29
3327,2901403,ANGICAL,Angical,BA,29
3329,2901502,ANGUERA,Anguera,BA,29
3331,2901601,ANTAS,Antas,BA,29
3333,2901700,ANTÔNIO CARDOSO,Antônio Cardoso,BA,29
3335,2901809,ANTÔNIO GONÇALVES,Antônio Gonçalves,BA,29
3337,2901908,APORÁ,Aporá,BA,29
3339,2902005,ARACATU,Aracatu,BA,29
3341,2902104,ARACI,Araci,BA,29
3343,2902203,ARAMARI,Aramari,BA,29
3345,2902302,ARATUÍPE,Aratuípe,BA,29
3347,2902401,AURELINO LEAL,Aurelino Leal,BA,29
3349,2902500,BAIANÓPOLIS,Baianópolis,BA,29
3351,2902609,BAIXA GRANDE,Baixa Grande,BA,29
3353,2902708,BARRA,Barra,BA,29
3355,2902807,BARRA DA ESTIVA,Barra da Estiva,BA,29
3357,2902906,BARRA DO CHOÇA,Barra do Choça,BA,29
3359,2903003,BARRA DO MENDES,Barra do Mendes,BA,29
3361,2903102,BARRA DO ROCHA,Barra do Rocha,BA,29
3363,2903201,BARREIRAS,Barreiras,BA,29
3365,2903300,BARRO PRETO,Barro Preto,BA,29
3367,2903409,BELMONTE,Belmonte,BA,29
3369,2903508,BELO CAMPO,Belo Campo,BA,29
3371,2903607,BIRITINGA,Biritinga,BA,29
3373,2903706,BOA NOVA,Boa Nova,BA,29
3375,2903805,BOA VISTA DO TUPIM,Boa Vista do Tupim,BA,29
3377,2903904,BOM JESUS DA LAPA,Bom Jesus da Lapa,BA,29
3379,2904001,BONINAL,Boninal,BA,29
3381,2904100,BOQUIRA,Boquira,BA,29
3383,2904209,BOTUPORÃ,Botuporã,BA,29
3385,2904308,BREJÕES,Brejões,BA,29
3387,2904407,BREJOLÂNDIA,Brejolândia,BA,29
3389,2904506,BROTAS DE MACAÚBAS,Brotas de Macaúbas,BA,29
3391,2904605,BRUMADO,Brumado,BA,29
3393,2904704,BUERAREMA,Buerarema,BA,29
3395,2904803,CAATIBA,Caatiba,BA,29
3397,2904902,CACHOEIRA,Cachoeira,BA,29
3399,2905008,CACULÉ,Caculé,BA,29
3401,2905107,CAÉM,Caém,BA,29
3403,2905206,CAETITÉ,Caetité,BA,29
3405,2905305,CAFARNAUM,Cafarnaum,BA,29
3407,2905404,CAIRU,Cairu,BA,29
3409,2905503,CALDEIRÃO GRANDE,Caldeirão Grande,BA,29
3411,2905602,CAMACAN,Camacan,BA,29
3413,2905701,CAMAÇARI,Camaçari,BA,29
3415,2905800,CAMAMU,Camamu,BA,29
3417,2905909,CAMPO ALEGRE DE LOURDES,Campo Alegre de Lourdes,BA,29
3419,2906006,CAMPO FORMOSO,Campo Formoso,BA,29
3421,2906105,CANÁPOLIS,Canápolis,BA,29
3423,2906204,CANARANA,Canarana,BA,29
3425,2906303,CANAVIEIRAS,Canavieiras,BA,29
3427,2906402,CANDEAL,Candeal,BA,29
3429,2906501,CANDEIAS,Candeias,BA,29
3431,2906600,CANDIBA,Candiba,BA,29
3433,2906709,CÂNDIDO SALES,Cândido Sales,BA,29
3435,2906808,CANSANÇÃO,Cansanção,BA,29
3437,2906907,CARAVELAS,Caravelas,BA,29
3439,2907004,CARDEAL DA SILVA,Cardeal da Silva,BA,29
3441,2907103,CARINHANHA,Carinhanha,BA,29
3443,2907202,CASA NOVA,Casa Nova,BA,29
3445,2907301,CASTRO ALVES,Castro Alves,BA,29
3447,2907400,CATOLÂNDIA,Catolândia,BA,29
3449,2907509,CATU,Catu,BA,29
3451,2907608,CENTRAL,Central,BA,29
3453,2907707,CHORROCHÓ,Chorrochó,BA,29
3455,2907806,CÍCERO DANTAS,Cícero Dantas,BA,29
3457,2907905,CIPÓ,Cipó,BA,29
3459,2908002,COARACI,Coaraci,BA,29
3461,2908101,COCOS,Cocos,BA,29
3463,2908200,CONCEIÇÃO DA FEIRA,Conceição da Feira,BA,29
3465,2908309,CONCEIÇÃO DO ALMEIDA,Conceição do Almeida,BA,29
3467,2908408,CONCEIÇÃO DO COITÉ,Conceição do Coité,BA,29
3469,2908507,CONCEIÇÃO DO JACUÍPE,Conceição do Jacuípe,BA,29
3471,2908606,CONDE,Conde,BA,29
3473,2908705,CONDEÚBA,Condeúba,BA,29
3475,2908804,CONTENDAS DO SINCORÁ,Contendas do Sincorá,BA,29
3477,2908903,CORAÇÃO DE MARIA,Coração de Maria,BA,29
3479,2909000,CORDEIROS,Cordeiros,BA,29
3481,2909109,CORIBE,Coribe,BA,29
3483,2909208,CORONEL JOÃO SÁ,Coronel João Sá,BA,29
3485,2909307,CORRENTINA,Correntina,BA,29
3487,2909406,COTEGIPE,Cotegipe,BA,29
3489,2909505,CRAVOLÂNDIA,Cravolândia,BA,29
3491,2909604,CRISÓPOLIS,Crisópolis,BA,29
3493,2909703,CRISTÓPOLIS,Cristópolis,BA,29
3495,2909802,CRUZ DAS ALMAS,Cruz das Almas,BA,29
3497,2909901,CURAÇÁ,Curaçá,BA,29
3499,2910008,DÁRIO MEIRA,Dário Meira,BA,29
3501,2910107,DOM BASÍLIO,Dom Basílio,BA,29
3503,2910206,DOM MACEDO COSTA,Dom Macedo Costa,BA,29
3505,2910305,ELÍSIO MEDRADO,Elísio Medrado,BA,29
3507,2910404,ENCRUZILHADA,Encruzilhada,BA,29
3509,2910503,ENTRE RIOS,Entre Rios,BA,29
3511,2910602,ESPLANADA,Esplanada,BA,29
3513,2910701,EUCLIDES DA CUNHA,Euclides da Cunha,BA,29
3515,2910800,FEIRA DE SANTANA,Feira de Santana,BA,29
3517,2910909,FIRMINO ALVES,Firmino Alves,BA,29
3519,2911006,FLORESTA AZUL,Floresta Azul,BA,29
3521,2911105,FORMOSA DO RIO PRETO,Formosa do Rio Preto,BA,29
3523,2911204,GANDU,Gandu,BA,29
3525,2911303,GENTIO DO OURO,Gentio do Ouro,BA,29
3527,2911402,GLÓRIA,Glória,BA,29
3529,2911501,GONGOGI,Gongogi,BA,29
3531,2911600,GOVERNADOR MANGABEIRA,Governador Mangabeira,BA,29
3533,2911709,GUANAMBI,Guanambi,BA,29
3535,2911808,GUARATINGA,Guaratinga,BA,29
3537,2911907,IAÇU,Iaçu,BA,29
3539,2912004,IBIASSUCÊ,Ibiassucê,BA,29
3541,2912103,IBICARAÍ,Ibicaraí,BA,29
3543,2912202,IBICOARA,Ibicoara,BA,29
3545,2912301,IBICUÍ,Ibicuí,BA,29
3547,2912400,IBIPEBA,Ibipeba,BA,29
3549,2928406,SANTA RITA DE CÁSSIA,Santa Rita de Cássia,BA,29
3551,2912509,IBIPITANGA,Ibipitanga,BA,29
3553,2912608,IBIQUERA,Ibiquera,BA,29
3555,2912707,IBIRAPITANGA,Ibirapitanga,BA,29
3557,2912806,IBIRAPUÃ,Ibirapuã,BA,29
3559,2912905,IBIRATAIA,Ibirataia,BA,29
3561,2913002,IBITIARA,Ibitiara,BA,29
3563,2913101,IBITITÁ,Ibititá,BA,29
3565,2913200,IBOTIRAMA,Ibotirama,BA,29
3567,2913309,ICHU,Ichu,BA,29
3569,2913408,IGAPORÃ,Igaporã,BA,29
3571,2913507,IGUAÍ,Iguaí,BA,29
3573,2913606,ILHÉUS,Ilhéus,BA,29
3575,2913705,INHAMBUPE,Inhambupe,BA,29
3577,2913804,IPECAETÁ,Ipecaetá,BA,29
3579,2913903,IPIAÚ,Ipiaú,BA,29
3581,2914000,IPIRÁ,Ipirá,BA,29
3583,2914109,IPUPIARA,Ipupiara,BA,29
3585,2914208,IRAJUBA,Irajuba,BA,29
3587,2914307,IRAMAIA,Iramaia,BA,29
3589,2914406,IRAQUARA,Iraquara,BA,29
3591,2914505,IRARÁ,Irará,BA,29
3593,2914604,IRECÊ,Irecê,BA,29
3595,2914703,ITABERABA,Itaberaba,BA,29
3597,2914802,ITABUNA,Itabuna,BA,29
3599,2914901,ITACARÉ,Itacaré,BA,29
3601,2915007,ITAETÉ,Itaeté,BA,29
3603,2915106,ITAGI,Itagi,BA,29
3605,2915205,ITAGIBÁ,Itagibá,BA,29
3607,2915304,ITAGIMIRIM,Itagimirim,BA,29
3609,2915403,ITAJU DO COLÔNIA,Itaju do Colônia,BA,29
3611,2915502,ITAJUÍPE,Itajuípe,BA,29
3613,2915601,ITAMARAJU,Itamaraju,BA,29
3615,2915700,ITAMARI,Itamari,BA,29
3617,2915809,ITAMBÉ,Itambé,BA,29
3619,2915908,ITANAGRA,Itanagra,BA,29
3621,2916005,ITANHÉM,Itanhém,BA,29
3623,2916104,ITAPARICA,Itaparica,BA,29
3625,2916203,ITAPÉ,Itapé,BA,29
3627,2916302,ITAPEBI,Itapebi,BA,29
3629,2916401,ITAPETINGA,Itapetinga,BA,29
3631,2916500,ITAPICURU,Itapicuru,BA,29
3633,2916609,ITAPITANGA,Itapitanga,BA,29
3635,2916708,ITAQUARA,Itaquara,BA,29
3637,2916807,ITARANTIM,Itarantim,BA,29
3639,2916906,ITIRUÇU,Itiruçu,BA,29
3641,2917003,ITIÚBA,Itiúba,BA,29
3643,2917102,ITORORÓ,Itororó,BA,29
3645,2917201,ITUAÇU,Ituaçu,BA,29
3647,2917300,ITUBERÁ,Ituberá,BA,29
3649,2917409,JACARACI,Jacaraci,BA,29
3651,2917508,JACOBINA,Jacobina,BA,29
3653,2917607,JAGUAQUARA,Jaguaquara,BA,29
3655,2917706,JAGUARARI,Jaguarari,BA,29
3657,2917805,JAGUARIPE,Jaguaripe,BA,29
3659,2917904,JANDAÍRA,Jandaíra,BA,29
3661,2918001,JEQUIÉ,Jequié,BA,29
3663,2918100,JEREMOABO,Jeremoabo,BA,29
3665,2918209,JIQUIRIÇÁ,Jiquiriçá,BA,29
3667,2918308,JITAÚNA,Jitaúna,BA,29
3669,2918407,JUAZEIRO,Juazeiro,BA,29
3671,2918506,JUSSARA,Jussara,BA,29
3673,2918605,JUSSIAPE,Jussiape,BA,29
3675,2918704,LAFAIETE COUTINHO,Lafaiete Coutinho,BA,29
3677,2918803,LAJE,Laje,BA,29
3679,2918902,LAJEDÃO,Lajedão,BA,29
3681,2919009,LAJEDINHO,Lajedinho,BA,29
3683,2919108,LAMARÃO,Lamarão,BA,29
3685,2919207,LAURO DE FREITAS,Lauro de Freitas,BA,29
3687,2919306,LENÇÓIS,Lençóis,BA,29
3689,2919405,LICÍNIO DE ALMEIDA,Licínio de Almeida,BA,29
3691,2919504,LIVRAMENTO DE NOSSA SENHORA,Livramento de Nossa Senhora,BA,29
3693,2919603,MACAJUBA,Macajuba,BA,29
3695,2919702,MACARANI,Macarani,BA,29
3697,2919801,MACAÚBAS,Macaúbas,BA,29
3699,2919900,MACURURÉ,Macururé,BA,29
3701,2920007,MAIQUINIQUE,Maiquinique,BA,29
3703,2920106,MAIRI,Mairi,BA,29
3705,2920205,MALHADA,Malhada,BA,29
3707,2920304,MALHADA DE PEDRAS,Malhada de Pedras,BA,29
3709,2920403,MANOEL VITORINO,Manoel Vitorino,BA,29
3711,2920502,MARACÁS,Maracás,BA,29
3713,2920601,MARAGOGIPE,Maragogipe,BA,29
3715,2920700,MARAÚ,Maraú,BA,29
3717,2920809,MARCIONÍLIO SOUZA,Marcionílio Souza,BA,29
3719,2920908,MASCOTE,Mascote,BA,29
